Site Location, Population estimate * ,Country,ISO 3 code,Country Region,continent,Latitude,Longitude,Site typology,PM10 µgm-3 *,PM2.5 µgm-3 *,Methodology,Reference author,Reference year,Study year,Season,SEA SALT%,DUST%,TRAFFIC%,INDUSTRY%,BIOM. BURN./RES.%,OTHER (unspecified-human origin)%
Charlotte," 7,75,000 ",USA,USA,USA,NA,35.24,-80.79,urban,,16,PMF-UNMIX,"Coutant92,93",2003,2001/2002,year,0.6,3.7,23.8,16.0,,55.9
Washington," 6,32,000 ",USA,USA,USA,NA,38.88,-77.03,urban,,17,PMF-UNMIX,"Coutant92,93",2003,2001/2002,year,,8.9,28.1,,6.5,56.5
St.Louis," 3,18,000 ",USA,USA,USA,NA,38.66,-90.20,urban,,17,PMF-UNMIX,"Coutant92,93",2003,2001/2002,year,,8.1,16.8,12.8,,62.3
Indianapolis," 8,44,000 ",USA,USA,USA,NA,39.81,-86.11,urban,,17,PMF-UNMIX,"Coutant92,93",2003,2001/2002,year,2.9,2.8,18.4,,1.7,74.2
Birmingham," 2,12,000 ",USA,USA,USA,NA,33.55,-86.82,urban,,20,PMF-UNMIX,"Coutant92,93",2003,2001/2002,year,,6.6,33.3,7.7,,52.4
Las Vegas," 5,96,000 ",USA,USA,USA,NA,36.12,-115.18,urban,,17,CMB,Green94,2013,2003,year,,,69.5,,14.8,15.7
Detroit," 7,01,000 ",USA,USA,USA,NA,42.33,-83.05,urban,,17,PMF,Hammond95,2008,1999/2002,year,,,33.0,4.0,,63.0
Pullman," 29,799 ",USA,USA,USA,NA,46.73,-117.18,urban,,14,CMB,Jimenez96,2006,2000,fall,,38.0,2.0,,35.0,25.0
Pullman," 29,799 ",USA,USA,USA,NA,46.73,-117.18,urban,,14,PMF,Jimenez96,2006,2000,fall,,57.0,,,17.0,26.0
Lennox," 22,753 ",USA,USA,USA,NA,33.94,-118.35,urban,45,,CMB,Kim97–103,2000,1986,year,5.5,,43.4,,,51.1
Long Beach," 4,67,882 ",USA,USA,USA,NA,33.80,-118.16,urban,50,,CMB,Kim97–103,2000,1986,year,3.0,8.2,50.3,,,38.5
Anaheim," 3,36,265 ",USA,USA,USA,NA,33.84,-117.91,urban,53,,CMB,Kim97–103,2000,1986,year,4.2,,54.8,,,41.0
Los Angeles," 38,58,000 ",USA,USA,USA,NA,34.05,-118.24,urban,60,,CMB,Kim97–103,2000,1986,year,2.8,9.9,44.7,,,42.6
Rubidoux," 34,280 ",USA,USA,USA,NA,34.00,-117.41,urban,88,,CMB,Kim97–103,2000,1986,year,,9.2,38.9,,,51.9
Spokane," 2,09,525 ",USA,USA,USA,NA,47.67,-117.41,residential,,12,PMF,Kim97–103,2002,1995/1997,year,,9.1,10.7,9.1,43.8,27.3
Atlanta," 4,43,000 ",USA,USA,USA,NA,33.78,-84.41,urban,,18,PMF,Kim97–103,2002,1998/200,year,,1.0,22.0,2.7,11.0,63.3
Washington DC," 6,32,000 ",USA,USA,USA,NA,38.88,-77.03,urban,,18,PMF,Kim97–103,2003,1998/2000,year,2.2,2.2,23.4,6.1,,66.1
Atlanta," 4,43,000 ",USA,USA,USA,NA,33.78,-84.41,urban,,18,ME,Kim97–103,2003,1998/2000,year,,2.2,26.0,3.8,3.0,65.0
Atlanta," 4,43,000 ",USA,USA,USA,NA,33.78,-84.41,urban,,18,PMF,Kim97–103,2003,1998/2000,year,,2.7,16.9,6.5,7.0,66.9
Great Smoky Mount, < 50 ,USA,USA,USA,NA,35.63,-83.64,remote,,13,PMF,Kim97–103,2006,1998/2003,year,,6.1,13.8,,0.1,80.0
Brigantine," 9,420 ",USA,USA,USA,NA,39.47,-74.45,rural,,11,PMF,"Lee8,104",2003,1991/1999,year,7.9,1.7,15.7,4.4,,70.3
Toronto OH," 25,03,000 ",USA,USA,USA,NA,40.46,-80.60,urban,,13,PMF,"Lee8,104",2008,2000/2001,year,7.8,10.8,14.9,1.6,,64.9
Phoenix," 14,45,000 ",USA,USA,USA,NA,33.81,-112.81,urban,,13,CMB/UNMIX,Lewis105,2002,1995/1998,year,,22.0,49.0,,10.3,18.7
New York," 83,77,000 ",USA,USA,USA,NA,40.73,-73.82,urban,,16,PMF,Li106,2004,2001,summer,10.5,,28.4,6.6,,54.5
Centerville," 2,778 ",USA,USA,USA,NA,31.40,-86.88,rural,,13,PMF,Liu107,2006,2000/2001,year,,1.6,8.2,9.8,19.2,61.2
Yorkville," 45,000 ",USA,USA,USA,NA,33.92,-85.00,rural,,14,PMF,Liu107,2006,2000/2001,year,,1.0,0.3,7.3,16.6,74.8
Atlanta," 4,43,000 ",USA,USA,USA,NA,33.78,-84.41,urban,,17,PMF,Liu107,2006,2000/2001,year,,3.1,15.3,9.4,22.2,50.0
Birmingham," 2,12,000 ",USA,USA,USA,NA,33.55,-86.82,urban,,18,PMF,Liu107,2006,2000/2001,year,,4.1,11.8,20.5,10.7,52.9
McMurdo," 1,258 ",USA,USA,USA,NA,-77.85,166.68,remote,3,,CMB,Lowenthal108,1999,1995/1996,year,21.0,46.0,,17.0,,16.0
Sacramento," 4,79,500 ",USA,USA,USA,NA,38.57,-121.49,urban,,40,CMB,Motallebi220,1999,1991/1996,winter,,1.2,24.5,,18.1,56.2
Seattle," 6,34,535 ",USA,USA,USA,NA,47.34,-122.18,urban,,9,CMB,Maykut109,2003,1996/1999,year,6.7,4.5,43.8,6.7,15.7,22.6
Seattle," 6,34,535 ",USA,USA,USA,NA,47.34,-122.18,urban,,9,UNMIX,Maykut109,2003,1996/1999,year,12.3,5.6,28.0,14.6,37.0,2.5
Seattle," 6,34,535 ",USA,USA,USA,NA,47.34,-122.18,urban,,9,PMF,Maykut109,2003,1996/1999,year,3.4,13.4,22.4,10.1,28.0,22.7
Detroit," 7,01,000 ",USA,USA,USA,NA,42.33,-83.05,urban,,14,PMF,Morishita110,2006,2000,summer,,,14.0,50.0,,36.0
Baltimore," 6,21,000 ",USA,USA,USA,NA,39.29,-76.55,urban,,21,ME,Ogulei111,2005,2002,year,1.0,,27.0,26.0,,46.0
Dearbon Detroit," 7,01,000 ",USA,USA,USA,NA,42.31,-83.15,industrial,,16,PMF,Pancras112,2013,2007,summer,,,20.7,7.7,,71.6
Dearbon Detroit," 7,01,000 ",USA,USA,USA,NA,42.31,-83.15,industrial,,16,UNMIX,Pancras112,2013,2007,summer,,,28.2,17.4,,54.4
Underhill," 2,980 ",USA,USA,USA,NA,44.53,-72.86,rural,,8,PMF,Poirot113,2001,1988/1995,year,,3.8,,20.2,15.2,60.8
Underhill," 2,980 ",USA,USA,USA,NA,44.53,-72.86,rural,,8,UNMIX,Poirot113,2001,1988/1995,year,,2.4,,13.1,15.4,69.1
Underhill," 2,980 ",USA,USA,USA,NA,44.53,-72.86,rural,,6,PMF,Polissar114,2001,1988/1995,year,1.6,4.7,,18.8,15.6,59.4
Underhill," 2,980 ",USA,USA,USA,NA,44.53,-72.86,rural,,8,PMF,Song115,2001,1998/1995,year,1.3,3.8,,18.8,15.0,61.3
Brigantine," 9,420 ",USA,USA,USA,NA,39.47,-74.45,rural,,11,PMF,Song115,2001,1992/1999,year,8.0,0.9,5.3,6.1,7.9,71.9
Washington DC," 6,32,000 ",USA,USA,USA,NA,38.88,-77.03,urban,,18,PMF,Song115,2001,1988/1999,year,3.4,2.8,9.1,8.5,,76.2
Corpus Christi," 3,12,195 ",USA,USA,USA,NA,27.81,-97.47,urban-industrial,,9,CMB,Subramoney116,2013,2003/2005,year,4.0,5.0,24.0,2.0,2.0,63.0
Corpus Christi," 3,12,195 ",USA,USA,USA,NA,27.42,-97.29,rural,,9,CMB,Subramoney116,2013,2003/2005,year,15.0,4.0,26.0,,3.0,52.0
San Jose," 9,82,000 ",USA,USA,USA,NA,37.35,-121.90,urban,,13,PMF,"Wang117,118",2013,2002/2012,year,13.3,,29.1,,24.3,33.3
Fairbanks," 32,312 ",USA,USA,USA,NA,64.83,-147.71,urban,,13,CMB,"Wang117,118",2014,2005/2012,year,1.5,3.4,30.6,,40.5,24.0
Fairbanks," 32,312 ",USA,USA,USA,NA,64.83,-147.71,urban,,25,CMB,Ward119,2012,2008/2011,year,,,7.6,,72.0,20.4
San Augustine," 8,865 ",USA,USA,USA,NA,31.53,-94.11,rural,,10,PMF,Yuling120,2010,2005/2006,year,,,31.0,,22.0,47.0
Dallas," 12,41,000 ",USA,USA,USA,NA,32.80,-96.77,urban,,11,PMF,Yuling120,2010,2005/2006,year,,,32.0,,16.0,52.0
San Gorgonio, < 50 ,USA,USA,USA,NA,34.19,-116.90,remote,,16,PMF,Zhao121,2004,1988/2004,year,6.7,14.7,16.2,,,62.4
Pittsburg," 3,06,000 ",USA,USA,USA,NA,40.44,-79.94,urban,,35,ME,"Zhou122,123",2004,2001,summer,,1.6,4.7,7.6,,86.1
Lake Forest (Seattle)," 6,52,000 ",USA,USA,USA,NA,47.70,-122.33,residential,,10,PMF,Kim224,2008,2000-2005,year,12.0,2.3,26.5,,30.0,29.2
Olive St. (Seattle)," 6,52,000 ",USA,USA,USA,NA,47.70,-122.33,urban-traffic,,10,PMF,Kim224,2008,2000-2005,year,9.5,9.4,22.0,8.5,7.1,43.5
Beacon Hill (Seattle)," 6,52,000 ",USA,USA,USA,NA,47.70,-122.33,residential,,8,PMF,Kim224,2008,2000-2005,year,8.6,2.7,36.4,7.9,8.0,36.4
Duwamish (Seattle)," 6,52,000 ",USA,USA,USA,NA,47.70,-122.33,industrial,,12,PMF,Kim224,2008,2000-2005,year,7.5,5.7,18.0,14.6,10.0,44.2
Georgetown (Seattle)," 6,52,000 ",USA,USA,USA,NA,47.70,-122.33,industrial,,10,PMF,Kim224,2008,2000-2005,year,14.4,5.0,20.5,1.4,19.3,39.4
Cleveland," 3,90,000 ",USA,USA,USA,NA,41.49,-81.69,urban,,19,ME,Zhou230,2009,2001-2003,year,,12.2,6.3,10.0,6.1,65.4
Indianapolis," 8,52,000 ",USA,USA,USA,NA,39.81,-86.11,urban,,18,PMF,Zhao229,2006,2000-2003,year,,5.3,25.0,7.0,,62.7
Birmingham," 2,12,000 ",USA,USA,USA,NA,33.55,-86.81,industrial,,20,PMF,Baumann221,2008,2001-2006,year,,,30.5,14.1,4.1,51.3
El Cajon," 1,01,200 ",USA,USA,USA,NA,32.79,-116.96,rural,,14,PMF,Hasheminassab223,2014,2002-2007,year,,5.7,16.0,3.5,14.3,60.5
Rubidoux," 34,200 ",USA,USA,USA,NA,34.00,-117.42,rural,,24,PMF,Hasheminassab223,2014,2002-2007,year,,4.2,16.8,1.0,5.4,72.6
Los Angeles," 38,58,000 ",USA,USA,USA,NA,34.05,-118.24,urban,,15,PMF,Hasheminassab223,2014,2002-2007,year,,8.0,24.0,,10.0,58.0
Simi Valley," 1,26,000 ",USA,USA,USA,NA,34.27,-118.78,urban,,13,PMF,Hasheminassab223,2014,2002-2007,year,,8.4,12.5,,11.5,67.6
Bakersfield," 3,63,000 ",USA,USA,USA,NA,35.37,-119.13,urban,,20,PMF,Hasheminassab223,2014,2002-2007,year,1.3,8.0,11.3,1.5,10.0,68.0
Fresno," 5,09,000 ",USA,USA,USA,NA,36.08,-119.77,urban,,20,PMF,Hasheminassab223,2014,2002-2007,year,4.5,,9.5,,25.0,61.0
San Jose," 9,98,000 ",USA,USA,USA,NA,37.34,-121.88,urban,,13,PMF,Hasheminassab223,2014,2002-2007,year,,3.8,10.0,1.5,34.6,50.1
Sacramento," 4,79,500 ",USA,USA,USA,NA,38.57,-121.49,urban,,14,PMF,Hasheminassab223,2014,2002-2007,year,1.0,5.0,23.9,,25.0,45.1
St.Louis (Blair site)," 3,18,000 ",USA,USA,USA,NA,38.65,-90.19,urban,,16,PMF,Lee226,2006,2000-2003,year,,15.4,17.2,6.7,,60.7
St.Louis (Arnold site)," 3,18,000 ",USA,USA,USA,NA,38.43,-90.36,suburban,,16,PMF,Lee226,2006,2001-2003,year,,3.2,26.1,17.4,2.4,50.9
Rubidoux," 34,200 ",USA,USA,USA,NA,34.00,-117.42,rural,,20,PMF,Hasheminassab222,2014,2003-2005,year,14.3,4.4,18.1,,5.4,57.9
Los Angeles," 38,58,000 ",USA,USA,USA,NA,34.05,-118.24,urban,,23,PMF,Hasheminassab222,2014,2003-2005,year,7.9,3.6,19.8,0.9,3.0,64.8
Rubidoux," 34,200 ",USA,USA,USA,NA,34.00,-117.42,rural,,19,PMF,Kim225,2010,2003-2005,year,4.1,10.2,18.2,,10.3,57.2
Los Angeles," 38,58,000 ",USA,USA,USA,NA,34.05,-118.24,urban,,24,PMF,Kim225,2010,2003-2005,year,10.6,6.6,15.8,2.3,6.0,58.7
Long Beach," 4,67,882 ",USA,USA,USA,NA,33.80,-118.16,urban-harbor,,13,CMB,Miguillon227,2008,2007,winter,15.3,,34.6,,1.9,48.2
Long Beach," 4,67,882 ",USA,USA,USA,NA,33.84,-117.91,urban-harbor,,16,CMB,Miguillon227,2008,2007,summer,10.9,,36.4,,,52.7
Simi Valley," 1,26,000 ",USA,USA,USA,NA,34.27,-118.78,urban,,16,PMF,Kim228,2007,2001-2004,year,12.3,11.3,25.2,,,51.1
Rubidoux," 34,200 ",USA,USA,USA,NA,34.00,-117.42,rural,,31,PMF,Kim228,2007,2001-2004,year,11.4,6.1,19.1,2.5,2.6,58.3
Los Angeles," 38,58,000 ",USA,USA,USA,NA,34.05,-118.24,urban,,21,PMF,Kim228,2007,2001-2004,year,7.3,7.1,32.4,,,53.3
Brisbane," 20,43,000 ",Australia,AUS,Oceania,OC,-27.47,153.02,urban,,5,PMF,"Chan57,58",2008,2002/2005,year,20.0,,33.3,9.3,2.7,34.8
Adelaide," 12,03,000 ",Australia,AUS,Oceania,OC,-34.93,138.60,urban,,6,PMF,"Chan57,58",2008,2002/2006,year,22.8,12.3,17.5,12.2,10.5,24.7
Melbourne," 43,50,000 ",Australia,AUS,Oceania,OC,-37.81,144.96,urban,,7,PMF,"Chan57,58",2008,2002/2003,year,15.2,12.0,30.3,10.6,10.6,21.3
Sydney," 45,76,000 ",Australia,AUS,Oceania,OC,-33.86,151.21,urban,,7,PMF,"Chan57,58",2008,2002/2004,year,23.0,1.4,35.7,5.7,1.4,32.8
Brisbane," 20,43,000 ",Australia,AUS,Oceania,OC,-27.47,153.02,urban,,7,PMF,"Chan57,58",2011,2000/2001,year,6.5,8.1,18.3,33.9,,33.2
Sydney," 45,76,000 ",Australia,AUS,Oceania,OC,-33.93,150.93,urban,,9,PMF,Cohen59,2011,1998/2009,year,24.0,3.2,22.5,,28.5,21.8
Brisbane," 20,43,000 ",Australia,AUS,Oceania,OC,-27.54,153.00,urban,,7,PMF,Friend61,2011,1995/2003,year,15.6,9.2,7.5,,43.3,24.4
Wainuiomata," 11,079 ",New Zeland,NZL,Oceania,OC,-41.27,174.95,urban,,6,PMF,Davy60,2014,2006/2008,year,21.1,3.8,7.3,,47.8,20.0
Curitiba ," 27,51,907 ",Brazil,BRA,Brazil,SA,-25.43,-49.27,urban,,12,APCA,Andrade1,2012,2007/2008,year,,,55.0,16.0,,29.0
Porto Alegre," 14,09,351 ",Brazil,BRA,Brazil,SA,-30.03,-51.23,urban,,16,APCA,Andrade1,2012,2007/2008,year,,,35.0,3.0,,62.0
Belo Horizonte," 23,75,151 ",Brazil,BRA,Brazil,SA,-19.92,-43.93,urban,,17,APCA,Andrade1,2012,2007/2008,year,,44.0,18.0,12.0,,26.0
Recife ," 15,37,704 ",Brazil,BRA,Brazil,SA,-8.06,-34.88,urban,,18,APCA,Andrade1,2012,2007/2008,year,24.0,8.0,37.0,,,31.0
Rio de Jainero," 63,20,000 ",Brazil,BRA,Brazil,SA,-22.90,-43.20,urban,,20,APCA,Andrade1,2012,2007/2008,year,,14.0,51.0,18.0,,17.0
Sao Paulo," 1,12,35,503 ",Brazil,BRA,Brazil,SA,-23.55,-46.64,urban,,28,APCA,Andrade1,2012,2007/2008,year,,13.0,40.0,13.0,,34.0
Antartic , 500 ,Brazil,BRA,Brazil,SA,-62.10,-58.40,remote,,2,APCFA,"Artaxo2,3",1990,1985/1987,year,79.3,1.1,,,,19.6
Alta Floresta(†)," 49,164 ",Brazil,BRA,Brazil,SA,-9.87,-56.09,rural,105,,APFA,"Artaxo2,3",1998,1995,fall,5.9,21.3,,,54.0,18.8
Campo Grande(†)," 7,65,257 ",Brazil,BRA,Brazil,SA,-20.44,-54.57,rural,105,,APFA,"Artaxo2,3",1998,1995,fall,5.9,21.3,,,54.0,18.8
Cuiabà(†)," 5,56,298 ",Brazil,BRA,Brazil,SA,-15.60,-56.10,rural,105,,APFA,"Artaxo2,3",1998,1995,fall,5.9,21.3,,,54.0,18.8
Jamari(†), < 50 ,Brazil,BRA,Brazil,SA,-9.20,-63.17,rural,105,,APFA,"Artaxo2,3",1998,1995,fall,5.9,21.3,,,54.0,18.8
Manaus(†)," 18,02,000 ",Brazil,BRA,Brazil,SA,-3.10,-60.03,rural,105,,APFA,"Artaxo2,3",1998,1995,fall,5.9,21.3,,,54.0,18.8
Marabà(†)," 2,33,462 ",Brazil,BRA,Brazil,SA,-5.37,-49.12,rural,105,,APFA,"Artaxo2,3",1998,1995,fall,5.9,21.3,,,54.0,18.8
Pantanal(†), < 50 ,Brazil,BRA,Brazil,SA,-16.35,-56.67,rural,105,,APFA,"Artaxo2,3",1998,1995,fall,5.9,21.3,,,54.0,18.8
Porto Nacional(†)," 43,682 ",Brazil,BRA,Brazil,SA,-10.71,-48.41,rural,105,,APFA,"Artaxo2,3",1998,1995,fall,5.9,21.3,,,54.0,18.8
Porto Velho(†)," 4,35,732 ",Brazil,BRA,Brazil,SA,-8.76,-63.90,rural,105,,APFA,"Artaxo2,3",1998,1995,fall,5.9,21.3,,,54.0,18.8
Santarem(†)," 2,76,074 ",Brazil,BRA,Brazil,SA,-2.44,-54.70,rural,105,,APFA,"Artaxo2,3",1998,1995,fall,5.9,21.3,,,54.0,18.8
Sao Josè dos Campos(†)," 6,21,789 ",Brazil,BRA,Brazil,SA,-23.18,-45.89,rural,105,,APFA,"Artaxo2,3",1998,1995,fall,5.9,21.3,,,54.0,18.8
Tucurui(†)," 1,00,000 ",Brazil,BRA,Brazil,SA,-3.77,-49.67,rural,105,,APFA,"Artaxo2,3",1998,1995,fall,5.9,21.3,,,54.0,18.8
Vilhena(†)," 66,751 ",Brazil,BRA,Brazil,SA,-12.73,-60.14,rural,105,,APFA,"Artaxo2,3",1998,1995,fall,5.9,21.3,,,54.0,18.8
Sao Paulo," 1,12,35,503 ",Brazil,BRA,Brazil,SA,-23.55,-46.64,urban,,23,APFA,ESMAP report4,2011,1997/1998,year,,27.5,23.5,26.0,,23.0
Rio de Janeiro," 63,20,000 ",Brazil,BRA,Brazil,SA,-22.90,-43.21,urban,,10,APFA,Godoy5,2009,2003/2005,year,,36.0,29.0,35.0,,0.0
Cordoba," 12,72,000 ",Argentina,ARG,Rest of South America,SA,-31.40,-64.18,suburban,,67,PMF,Lopez66,2011,2009/2010,year,,56.0,28.0,16.0,,0.0
Cordoba," 12,72,000 ",Argentina,ARG,Rest of South America,SA,-31.40,-64.18,urban,,71,PMF,Lopez66,2011,2009/2010,year,,55.0,32.0,13.0,,0.0
Cordoba," 12,72,000 ",Argentina,ARG,Rest of South America,SA,-31.40,-64.18,suburban,101,,PMF,Lopez66,2011,2009/2010,year,,72.0,,28.0,,0.0
Cordoba," 12,72,000 ",Argentina,ARG,Rest of South America,SA,-31.40,-64.18,urban,107,,PMF,Lopez66,2011,2009/2010,year,,47.0,33.0,6.0,,14.0
Santiago," 52,78,000 ",Chile,CHL,Rest of South America,SA,-33.41,-70.55,urban,,23,APFA,ESMAP report4,2011,2000,winter,,42.0,45.0,,,13.0
Quillota," 75,916 ",Chile,CHL,Rest of South America,SA,-33.69,-71.25,rural,49,,PMF,Hedberg62,2005,1999/2000,year,8.9,35.5,35.0,13.2,,7.4
Tocopilla," 23,986 ",Chile,CHL,Rest of South America,SA,-22.08,-70.20,residential,,22,PMF,Jorquera63–65,2009,2006,summer,8.6,7.5,,33.5,,50.4
Tocopilla," 23,986 ",Chile,CHL,Rest of South America,SA,-22.08,-70.20,residential,91,,PMF,Jorquera63–65,2009,2006,summer,35.0,12.0,,30.0,,23.0
Santiago," 52,78,000 ",Chile,CHL,Rest of South America,SA,-33.41,-70.55,urban,,32,PMF,Jorquera63–65,2012,2004,year,9.9,4.0,31.0,9.7,28.9,16.5
Antofagasta," 3,80,695 ",Chile,CHL,Rest of South America,SA,-23.63,-70.39,industrial,,42,PMF,Jorquera63–65,2013,2007/2008,summer,,22.4,,22.0,,55.6
Antofagasta," 3,80,695 ",Chile,CHL,Rest of South America,SA,-23.63,-70.39,industrial,161,,PMF,Jorquera63–65,2013,2007/2008,summer,6.4,31.2,,28.0,,34.4
Bogotà Tunal," 67,63,000 ",Colombia,COL,Rest of South America,SA,3.96,-74.34,remote,26,,PMF,"Vargas68,69",2009,2008,summer,,,52.2,21.3,,26.5
Bogotà," 67,63,000 ",Colombia,COL,Rest of South America,SA,4.62,-74.14,urban,55,,PMF,"Vargas68,69",2009,2008,summer,,20.8,35.3,31.0,,12.9
Bogotà," 67,63,000 ",Colombia,COL,Rest of South America,SA,4.74,-74.10,urban,41,,PMF,"Vargas68,69",2012,2008,summer,18.0,9.0,60.0,,,13.0
Bogotà," 67,63,000 ",Colombia,COL,Rest of South America,SA,4.62,-74.14,urban,52,,PMF,"Vargas68,69",2012,2008,summer,,21.0,35.0,31.0,,13.0
Moravia," 56,919 ",Costa Rica,CRI,Rest of South America,SA,10.64,-84.70,urban-residential,,18,PMF,Murillo67,2013,2010/2011,year,11.3,21.7,28.9,,,38.1
San Jose," 2,88,054 ",Costa Rica,CRI,Rest of South America,SA,9.90,-84.09,urban,,26,PMF,Murillo67,2013,2010/2011,year,7.7,13.3,18.4,26.5,,34.1
Belen," 6,071 ",Costa Rica,CRI,Rest of South America,SA,9.98,-84.18,industrial,,36,PMF,Murillo67,2013,2010/2011,year,5.6,9.8,7.8,48.6,,28.2
Heredia," 20,191 ",Costa Rica,CRI,Rest of South America,SA,9.99,-84.11,urban-traffic,,37,PMF,Murillo67,2013,2010/2011,year,6.4,13.8,15.6,27.9,,36.3
Moravia," 56,919 ",Costa Rica,CRI,Rest of South America,SA,10.64,-84.70,urban-residential,25,,PMF,Murillo67,2013,2010/2011,year,14.5,28.4,30.1,,,27.0
San Jose," 2,88,054 ",Costa Rica,CRI,Rest of South America,SA,9.90,-84.09,urban,37,,PMF,Murillo67,2013,2010/2011,year,13.2,21.0,22.7,19.8,,23.3
Belen," 6,071 ",Costa Rica,CRI,Rest of South America,SA,9.98,-84.18,industrial,52,,PMF,Murillo67,2013,2010/2011,year,10.3,20.6,8.7,35.5,,24.9
Heredia," 20,191 ",Costa Rica,CRI,Rest of South America,SA,9.99,-84.11,urban-traffic,55,,PMF,Murillo67,2013,2010/2011,year,12.3,24.6,19.5,15.9,,27.7
,,,,,,,,,,,,,,,,,,,,,
,Pollution sources have been grouped following common criteria according to the European Guide on Air Pollution Source Apportionment with Receptor Models205 and after a critical review and meta-analysis of ambient particulate matter source apportionment using receptor models in Europe206,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
*,"Data provided for indicative purposes only, and to accompany the source apportionment results. The population data do not necessarily correspond to official data, ",,,,,,,,,,,,,,,,,,,,
,"   and the particulate matter PM2.5 and PM10 values correspond to the values from the cited sources, but not necessarily the city means.",,,,,,,,,,,,,,,,,,,,
(†),Average value for several sites,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
1,"Andrade M de F, de Miranda RM, Fornaro A, et al. Vehicle emissions and PM2.5 mass concentrations in six Brazilian cities. Air Qual Atmosphere Health 2012; 5: 79–88.",,,,,,,,,,,,,,,,,,,,
2,"Artaxo P, Andrade F, Maenhaut W. Trace elements and receptor modelling of aerosols in the antarctic peninsula. Nucl Instrum Methods Phys Res Sect B Beam Interact Mater At 1990; 49: 383–7.",,,,,,,,,,,,,,,,,,,,
3,"Artaxo P, Fernandas ET, Martins JV, et al. Large-scale aerosol source apportionment in Amazonia. J Geophys Res 1998; 103: 31837.",,,,,,,,,,,,,,,,,,,,
4," ESMAP, Energy Sector Management Assistance Program. The World Bank, Annual Report 2011. 2012. ",,,,,,,,,,,,,,,,,,,,
5,"Godoy MLDP, Godoy JM, Roldão LA, Soluri DS, Donagemma RA. Coarse and fine aerosol source apportionment in Rio de Janeiro, Brazil. Atmos Environ 2009; 43: 2366–74.",,,,,,,,,,,,,,,,,,,,
6,"Jeong C, McGuire ML, Herod D, et al. Receptor model based identification of PM2.5 sources in Canadian cities. Atmospheric Pollut Res 2011; 2: 158–71.",,,,,,,,,,,,,,,,,,,,
7,"Jeong CH, Evans GJ, Dann T, et al. Influence of biomass burning on wintertime fine particulate matter: Source contribution at a valley site in rural British Columbia. Atmos Environ 2008; 42: 3684–99.",,,,,,,,,,,,,,,,,,,,
8,"Lee PKH, Brook JR, Dabek-Zlotorzynska E, Mabury SA. Identification of the Major Sources Contributing to PM2.5 Observed in Toronto. Environ Sci Technol 2003; 37: 4831–40.",,,,,,,,,,,,,,,,,,,,
9,"Junninen H, Mønster J, Rey M, et al. Quantifying the impact of residential heating on the urban air quality in a typical european coal combustion region. Environ Sci Technol 2009; 43: 7964–70.",,,,,,,,,,,,,,,,,,,,
10,"Kovacevik B, Wagner A, Boman J, Laursen J, Pettersson JBC. Elemental composition of fine particulate matter (PM2.5) in Skopje, FYR of Macedonia. X-Ray Spectrom 2011; 40: 280–8.",,,,,,,,,,,,,,,,,,,,
11,"Orru H, Kimmel V, Kikas Ü, et al. Elemental composition and oxidative properties of PM2.5 in Estonia in relation to origin of air masses - results from the ECRHS II in Tartu. Sci Total Environ 2010; 408: 1515–22.",,,,,,,,,,,,,,,,,,,,
12,"Sówka I, Zwoździak A, Trzepla-Nabaglo K, Skrętowicz M, Zwoździak J. PM2.5 elemental composition and source apportionment in a residential area of Wrocław, Poland. Environ Prot Eng 2012; Vol. 38. ",,,,,,,,,,,,,,,,,,,,
13,"Bi X, Feng Y, Wu J, Wang Y, Zhu T. Source apportionment of PM10 in six cities of northern China. Atmos Environ 2007; 41: 903–12.",,,,,,,,,,,,,,,,,,,,
14,"Cheng Y, Lee S, Gu Z, et al. PM2.5 and PM10-2.5 chemical composition and source apportionment near a Hong Kong roadway. 2013. http://www.scopus.com/inward/record.url?eid=2-s2.0-84890828584&partnerID=40&md5=a00fbfb3438131f57d72277af8b99f41.",,,,,,,,,,,,,,,,,,,,
15,"Davy PK, Gunchin G, Markwitz A, et al. Air particulate matter pollution in Ulaanbaatar, Mongolia: determination of composition, source contributions and source locations. Atmospheric Pollut Res 2011; 2: 126–37.",,,,,,,,,,,,,,,,,,,,
16,"Geng N, Wang J, Xu Y, Zhang W, Zhang R. Element characteristics and source apportionment of trace elements in PM2.5 in an industrial zone of Zhengzhou. Sustain Environ Res 2013; 23: 1–13.",,,,,,,,,,,,,,,,,,,,
17,"Huang B, Liu M, Ren Z, et al. Chemical composition, diurnal variation and sources of PM2.5 at two industrial sites of South China. Atmospheric Pollut Res 2013; 4: 298–305.",,,,,,,,,,,,,,,,,,,,
18,"Kong S, Han B, Bai Z, Chen L, Shi J, Xu Z. Receptor modeling of PM2.5, PM10 and TSP in different seasons and long-range transport analysis at a coastal site of Tianjin, China. Sci Total Environ 2010; 408: 4681–94.",,,,,,,,,,,,,,,,,,,,
19,"Li TC, Chen WH, Yuan CS, Wu SP, Wang XH. Physicochemical characteristics and source apportionment of atmospheric aerosol particles in Kinmen-Xiamen Airshed. Aerosol Air Qual Res 2013; 13: 308–23.",,,,,,,,,,,,,,,,,,,,
